#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Battle Hunter (USA);Battle Hunter (USA);Sony PlayStation;;2001;A1 Games;Role-Playing;4;;;;;;;;
Battle Stations (USA);Battle Stations (USA);Sony PlayStation;;1997;Electronic Arts;Action;2;;;;;;;;
BattleSport (USA);BattleSport (USA);Sony PlayStation;;1997;Acclaim;Sports/Futuristic;2;;;;;;;;
BattleTanx - Global Assault (USA);BattleTanx - Global Assault (USA);Sony PlayStation;;2000;3DO;Shooter;2;;;;;;;;
Beast Wars - Transformers (USA);Beast Wars - Transformers (USA);Sony PlayStation;;1997;Hasbro Interactive;Action;1;;;;;;;;
Beat Mania (Europe);Beat Mania (Europe);Sony PlayStation;;1998;SCEE;Rhythm;2;;;;;;;;
Beatmania (Europe);Beatmania (Europe);Sony PlayStation;;1998;SCEE;Rhythm;2;;;;;;;;
"Bedlam (Europe) (En,Fr,De,Es,It,Nl)";Bedlam (Europe);Sony PlayStation;;1997;GT Interactive;Shooter;1;;;;;;;;
Bedlam (Europe);Bedlam (Europe);Sony PlayStation;;1997;GT Interactive;Shooter;1;;;;;;;;
Beyblade (USA);Beyblade (USA);Sony PlayStation;;2002;Crave Entertainment;Action;2;;;;;;;;
