#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Darkwing Duck (USA);Darkwing Duck (USA);Nintendo Game Boy;;1993;Capcom;Platform;1;;;;;;;;
David Crane's The Rescue of Princess Blobette (USA);David Crane's The Rescue of Princess Blobette (USA);Nintendo Game Boy;;1991;Absolute Entertainment;Puzzle;1;;;;;;;;
"Days of Thunder (USA, Europe)";"Days of Thunder (USA, Europe)";Nintendo Game Boy;;1992;Mindscape Inc.;Driving;;;;;;;;;
Dead Heat Scramble (USA);Dead Heat Scramble (USA);Nintendo Game Boy;;1990;Electro Brain;Driving;;;;;;;;;
Deep - Final Mission (Asia) (Unl);Deep - Final Mission (Asia) (Unl);Nintendo Game Boy;;1990;Sachen;Shoot-'Em-Up;;;;;;;;;
Dennis the Menace (USA);Dennis the Menace (USA);Nintendo Game Boy;;1994;Ocean;Platform;;;;;;;;;
Desert Strike - Return to the Gulf (USA);Desert Strike - Return to the Gulf (USA);Nintendo Game Boy;;1995;Malibu Games;Action;1;;;;;;;;
"Dexterity (USA, Europe)";"Dexterity (USA, Europe)";Nintendo Game Boy;;1990;SNK;Puzzle;;;;;;;;;
Dick Tracy (USA);Dick Tracy (USA);Nintendo Game Boy;;1991;Bandai;Action;1;;;;;;;;
Dig Dug (USA);Dig Dug (USA);Nintendo Game Boy;;1992;Namco;Puzzle;1;;;;;;;;
Dirty Racing (Japan);Dirty Racing (Japan);Nintendo Game Boy;;1993;Gremlin Interactive;Driving;;;;;;;;;
Dodge Boy (Japan);Dodge Boy (Japan);Nintendo Game Boy;;1991;Tonkin House;Sports;;;;;;;;;
Donkey Kong (World);Donkey Kong (World);Nintendo Game Boy;;1994;Nintendo;Platform;1;;;;;;;;
Donkey Kong (World) (Rev A);Donkey Kong (World) (Rev A);Nintendo Game Boy;;1994;Nintendo;Platform;1;;;;;;;;
"Donkey Kong Land (USA, Europe)";"Donkey Kong Land (USA, Europe)";Nintendo Game Boy;;1995;Nintendo;Platform;1;;;;;;;;
"Donkey Kong Land 2 (USA, Europe)";"Donkey Kong Land 2 (USA, Europe)";Nintendo Game Boy;;1996;Nintendo;Platform;1;;;;;;;;
"Donkey Kong Land III (USA, Europe)";"Donkey Kong Land III (USA, Europe)";Nintendo Game Boy;;1997;Nintendo;Platform;1;;;;;;;;
"Donkey Kong Land III (USA, Europe) (Rev A)";"Donkey Kong Land III (USA, Europe) (Rev A)";Nintendo Game Boy;;1997;Nintendo;Platform;1;;;;;;;;
Doraemon 2 - Animal Planet Densetsu (Japan);Doraemon 2 - Animal Planet Densetsu (Japan);Nintendo Game Boy;;1992;Agenda;Action;;;;;;;;;
